trade_date,pr,tr,dy,dy_pct_expanding,dy_realized
20070322,2480.972,2665.648,0.01675426231988559,,0.035464589254246226
20070323,2514.822,2702.018,0.016528861037155937,,0.03546470770285337
20070326,2564.33,2755.211,0.01620956949800072,,0.03546422897355339
20070327,2579.064,2771.042,0.016117033532979906,,0.035464265265378714
20070328,2587.856,2780.489,0.01606247491937477,,0.035464469778250685
20070329,2545.054,2734.5,0.016332156321859637,,0.03546327091002377
20070330,2564.179,2755.049,0.016210485406022608,,0.03546341890242943
20070402,2644.095,2840.914,0.015720635098242723,,0.035463523229123384
20070403,2677.905,2877.24,0.015522153571574826,,0.035463523229123384
20070404,2691.27,2891.6,0.015445059182123248,,0.035463401477875856
20070405,2724.579,2928.105,0.015501017166778687,,0.03571685336658348
20070406,2759.175,2965.286,0.015306692448096234,,0.03571653483586257
20070409,2829.741,3041.123,0.014924985408726782,,0.03571653483586257
20070410,2880.189,3095.341,0.014664020430072339,,0.03571692711894392
20070411,2907.089,3124.25,0.014337964601496753,,0.03514396891530991
20070412,2960.704,3181.871,0.014078349173641296,,0.03514347048345323
20070413,2937.524,3156.959,0.01418944141794126,,0.03514347048345323
20070416,3011.265,3236.208,0.01365893273874672,,0.03458946552434594
20070417,3059.841,3288.412,0.013442092609891213,,0.03458946552434594
20070418,3127.197,3360.8,0.01312406847099043,,0.034499600496480376
20070419,2984.663,3207.618,0.013750634630311967,,0.03449906867406405
20070420,3124.323,3358.414,0.013345447094395701,,0.03471577345715726
20070423,3294.24,3541.062,0.012657088524911259,,0.03471577345715726
20070424,3344.324,3594.899,0.012427115780403324,,0.03457998167108389
20070425,3340.159,3590.421,0.012220116831267669,,0.03385301351536274
20070426,3374.651,3628.085,0.012257223374838828,,0.03402050519160138
20070427,3340.297,3591.357,0.012372084934179756,,0.03385859930315305
20070430,3386.359,3641.118,0.012268768180899765,,0.033925535643078986
20070508,3544.621,3811.287,0.011721136571488867,,0.03392554765015854
20070509,3546.498,3813.682,0.011698845231196733,,0.03363500234642425
20070510,3600.53,3871.785,0.011523332082873353,,0.033634933774505216
20070511,3568.693,3837.549,0.011378394108840855,,0.03276516587347178
