code,trade_date,close
510300.SH,20180201,4.241
510300.SH,20180131,4.271
510300.SH,20180130,4.258
510300.SH,20180129,4.302
510300.SH,20180126,4.385
510300.SH,20180125,4.363
510300.SH,20180124,4.391
510300.SH,20180123,4.388
510300.SH,20180122,4.39
510300.SH,20180119,4.335
510300.SH,20180118,4.323
510300.SH,20180117,4.295
510300.SH,20180116,4.308
510300.SH,20180115,4.265
510300.SH,20180112,4.273
510300.SH,20180111,4.25
510300.SH,20180110,4.256
510300.SH,20180109,4.238
510300.SH,20180108,4.204
510300.SH,20180105,4.187
510300.SH,20180104,4.171
510300.SH,20180103,4.158
510300.SH,20180102,4.136
510300.SH,20251231,4.753
510300.SH,20251230,4.773
510300.SH,20251229,4.763
510300.SH,20251226,4.784
510300.SH,20251225,4.766
510300.SH,20251224,4.757
510300.SH,20251223,4.74
510300.SH,20251222,4.73
510300.SH,20251219,4.688
510300.SH,20251218,4.668
510300.SH,20251217,4.699
510300.SH,20251216,4.62
510300.SH,20251215,4.667
510300.SH,20251212,4.694
510300.SH,20251211,4.668
510300.SH,20251210,4.702
510300.SH,20251209,4.708
510300.SH,20251208,4.732
510300.SH,20251205,4.698
510300.SH,20251204,4.657
510300.SH,20251203,4.645
510300.SH,20251202,4.666
510300.SH,20251201,4.687
510300.SH,20251128,4.635
510300.SH,20251127,4.622
510300.SH,20251126,4.626
510300.SH,20251125,4.597
510300.SH,20251124,4.557
510300.SH,20251121,4.564
510300.SH,20251120,4.676
510300.SH,20251119,4.697
510300.SH,20251118,4.683
510300.SH,20251117,4.71
510300.SH,20251114,4.741
510300.SH,20251113,4.812
510300.SH,20251112,4.765
510300.SH,20251111,4.763
510300.SH,20251110,4.807
510300.SH,20251107,4.795
510300.SH,20251106,4.805
510300.SH,20251105,4.735
510300.SH,20251104,4.729
510300.SH,20251103,4.763
510300.SH,20251031,4.756
510300.SH,20251030,4.823
510300.SH,20251029,4.862
510300.SH,20251028,4.802
510300.SH,20251027,4.826
510300.SH,20251024,4.77
510300.SH,20251023,4.713
510300.SH,20251022,4.695
510300.SH,20251021,4.71
510300.SH,20251020,4.64
510300.SH,20251017,4.624
510300.SH,20251016,4.721
510300.SH,20251015,4.706
510300.SH,20251014,4.645
510300.SH,20251013,4.692
510300.SH,20251010,4.719
510300.SH,20251009,4.816
510300.SH,20250930,4.741
510300.SH,20250929,4.728
510300.SH,20250926,4.651
510300.SH,20250925,4.695
510300.SH,20250924,4.663
510300.SH,20250923,4.622
510300.SH,20250922,4.619
510300.SH,20250919,4.604
510300.SH,20250918,4.594
510300.SH,20250917,4.653
510300.SH,20250916,4.62
510300.SH,20250915,4.629
510300.SH,20250912,4.621
510300.SH,20250911,4.66
510300.SH,20250910,4.538
510300.SH,20250909,4.528
510300.SH,20250908,4.555
510300.SH,20250905,4.554
510300.SH,20250904,4.456
510300.SH,20250903,4.549
510300.SH,20250902,4.59
510300.SH,20250901,4.616
510300.SH,20250829,4.601
510300.SH,20250828,4.559
510300.SH,20250827,4.475
510300.SH,20250826,4.541
510300.SH,20250825,4.565
510300.SH,20250822,4.479
510300.SH,20250821,4.378
510300.SH,20250820,4.364
510300.SH,20250819,4.305
510300.SH,20250818,4.327
510300.SH,20250815,4.295
510300.SH,20250814,4.256
510300.SH,20250813,4.263
510300.SH,20250812,4.228
510300.SH,20250811,4.202
510300.SH,20250808,4.183
510300.SH,20250807,4.193
510300.SH,20250806,4.194
510300.SH,20250805,4.183
510300.SH,20250804,4.152
510300.SH,20250801,4.133
510300.SH,20250731,4.155
510300.SH,20250730,4.232
510300.SH,20250729,4.235
510300.SH,20250728,4.214
510300.SH,20250725,4.203
510300.SH,20250724,4.225
510300.SH,20250723,4.199
510300.SH,20250722,4.201
510300.SH,20250721,4.157
510300.SH,20250718,4.132
510300.SH,20250717,4.102
510300.SH,20250716,4.069
510300.SH,20250715,4.078
510300.SH,20250714,4.078
510300.SH,20250711,4.079
510300.SH,20250710,4.065
510300.SH,20250709,4.045
510300.SH,20250708,4.048
510300.SH,20250707,4.014
510300.SH,20250704,4.032
510300.SH,20250703,4.015
510300.SH,20250702,3.992
510300.SH,20250701,3.988
510300.SH,20250630,3.982
510300.SH,20250627,3.963
510300.SH,20250626,3.986
510300.SH,20250625,4.001
510300.SH,20250624,3.936
510300.SH,20250623,3.891
510300.SH,20250620,3.878
510300.SH,20250619,3.873
510300.SH,20250618,3.904
510300.SH,20250617,3.989
510300.SH,20250616,3.99
510300.SH,20250613,3.98
510300.SH,20250612,4.006
510300.SH,20250611,4.004
510300.SH,20250610,3.972
510300.SH,20250609,3.995
510300.SH,20250606,3.986
510300.SH,20250605,3.984
510300.SH,20250604,3.974
510300.SH,20250603,3.957
510300.SH,20250530,3.959
510300.SH,20250529,3.966
510300.SH,20250528,3.942
510300.SH,20250527,3.946
510300.SH,20250526,3.967
510300.SH,20250523,3.988
510300.SH,20250522,4.017
510300.SH,20250521,4.019
510300.SH,20250520,4.003
510300.SH,20250519,3.983
510300.SH,20250516,3.989
510300.SH,20250515,4.011
510300.SH,20250514,4.045
510300.SH,20250513,3.994
510300.SH,20250512,3.99
510300.SH,20250509,3.945
510300.SH,20250508,3.95
510300.SH,20250507,3.927
510300.SH,20250506,3.903
510300.SH,20250430,3.866
510300.SH,20250429,3.869
510300.SH,20250428,3.876
510300.SH,20250425,3.882
510300.SH,20250424,3.882
510300.SH,20250423,3.882
510300.SH,20250422,3.878
510300.SH,20250421,3.875
510300.SH,20250418,3.873
510300.SH,20250417,3.863
510300.SH,20250416,3.86
510300.SH,20250415,3.851
510300.SH,20250414,3.848
510300.SH,20250411,3.84
510300.SH,20250410,3.829
510300.SH,20250409,3.766
510300.SH,20250408,3.73
510300.SH,20250407,3.695
